Country,2010,2009,2011,2012
Argentina,318,315,345,364
Australia,319,332,309,315
Austria,255,257,253,259
Bolivia,221,175,244,263
Brazil,229,205,230,241
Canada,236,232,259,259
Chile,445,426,460,486
China,34,32,38,39
Colombia,125,121,127,128
Egypt,54,49,53,65
El Salvador,166,148,180,186
France,143,137,149,141
Germany,179,175,190,191
Great Britain,204,202,210,200
India,11,9,12,14
Indonesia,13,13,14,15
Italy,139,144,137,132
Japan,178,173,179,182
Kenya,40,39,40,39
Mali,12,9,12,13
Mexico,675,665,728,745
Morocco,84,84,88,87
Nigeria,28,28,27,26
Pakistan,15,15,17,21
Panama,258,260,379,416
Peru,193,191,208,219
Philippines,144,128,129,131
Russia,69,59,73,79
South Africa,254,249,247,260
South Korea,69,60,84,99
Spain,284,289,287,283
Thailand,94,87,93,113
Turkey,159,137,173,176
United States,394,399,403,401
Worldwide,89,86,92,94
